Codice;Nome/Localizzazione;Gruppo;Categoria;Contesto urbano;Elemento;Circoscrizione;Fonte circoscrizione;Latitudine;Longitudine;Punteggio;Livello accessibilita;Rilevanza;Non valutabile;N. foto rilievo
U_11;SERVIZI EDUCATIVI;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI - UFFICIO AMMINISTRATIVO COMUNALE (AREA DELL'ISTRUZIONE E FORMAZIONE);;;;;37.9048821;13.8160624;68;Parzialmente inaccessibile;Alta;No;7
U_12;CIRCOSCRIZIONE V P.D. BORGONUOVO;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI - UFFICIO PUBBLICO DECENTRATO / SPORTELLO POLIFUNZIONALE;;;;;38.1278813;13.299908;63;Parzialmente inaccessibile;Alta;No;1
U_13;SERVIZIO SOCIALE DI COMUNITÀ;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI - SERVIZIO PUBBLICO DI ASSISTENZA SOCIALE;;;;;38.1206489;13.3652732;71;Parzialmente inaccessibile;Alta;No;10
U_14;SERVIZI MATRIMONIALI;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI - SEDE ISTITUZIONALE MONUMENTALE (PER RITI CIVILI);;;;;38.119192;13.3662307;72;Parzialmente inaccessibile;Alta;No;4
U_15;RAGIONERIA GENERALE;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI - UFFICIO AMMINISTRATIVO COMUNALE (AREA DELLE RISORSE FINANZIARIE);;;;;38.1245834;13.3590192;65;Parzialmente inaccessibile;Alta;No;7
U_16;DIRETTORE GENERALE;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI - UFFICIO DI VERTICE AMMINISTRATIVO;;;;;38.1169655;13.3695442;68;Parzialmente inaccessibile;Alta;No;7
U_17;SERVIZI SOCIALI;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI - CENTRO DIREZIONALE E AMMINISTRATIVO;;;;;37.9841895;13.3283798;66;Parzialmente inaccessibile;Alta;No;4
U_18;UFFICIO TRIBUTI;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI - UFFICIO AMMINISTRATIVO COMUNALE (GESTIONE ENTRATE);;;;;38.1098934;13.3663171;67;Parzialmente inaccessibile;Alta;No;7
U_19;UFFICIO STATO CIVILE - UFFICIO ELETTORALE – ANAGRAFE;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI - UFFICIO PUBBLICO DI SERVIZI DEMOGRAFICI;;;;;38.1098934;13.3663171;65;Parzialmente inaccessibile;Alta;No;7
U_20;SERVIZI CIMITERIALI;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI - UFFICIO AMMINISTRATIVO E GESTIONALE;;;;;37.9306857;13.6640047;73;Parzialmente inaccessibile;Alta;No;7
U_21;CIRCOSCRIZIONE IV;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI - SEDE ISTITUZIONALE E AMMINISTRATIVA CIRCOSCRIZIONALE;;;;;;;73;Parzialmente inaccessibile;Alta;No;7
U_22;CIRCOSCRIZIONE III SPORTELLO POLIFUNZIONALE;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI - SPORTELLO POLIFUNZIONALE DI SERVIZI DEMOGRAFICI E AMMINISTRATIVI;;;;;38.1008251;13.3722468;56;Parzialmente accessibile;Alta;No;4
U_23;CIRCOSCRIZIONE II;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI - SEDE ISTITUZIONALE E AMMINISTRATIVA CIRCOSCRIZIONALE;;;;;38.0915693;13.3841626;70;Parzialmente inaccessibile;Alta;No;7
U_24;CIMITERO S.M. DI GESÙ;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI - CIMITERO COMUNALE STATALE;;;;;38.0871398;13.3760318;63;Parzialmente inaccessibile;Alta;No;7
A_01;NIDO FRANCESCA MORVILLO;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;38.1977715;13.2800229;62;Parzialmente inaccessibile;Alta;No;7
A_02;NIDO LA COCCINELLA;Asilo;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;;;;;38.1806242;13.3111933;56;Parzialmente accessibile;Alta;No;7
