Codice,Nome/Localizzazione,Gruppo,Categoria,Contesto urbano,Elemento,Latitudine,Longitudine,Indirizzo,Punteggio,Livello accessibilita,Rilevanza,Non valutabile,N. foto rilievo,Criticità Rilevate,Nome Immobile,Circoscrizione,Quartiere,UPL
S_17,SCUOLA CAPUANA,Scuola,SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA PRIMARIA,,,38.1199557,13.3445011,"Via Alessio Narbone, 55",75,Parzialmente inaccessibile,Alta,No,7,Antico portone inidoneo; assenza maniglioni nei bagni ai piani; pendenza rampa eccessiva; pavimentazione parzialmente scivolosa; assenza segnaletica tattile.,SCUOLA CAPUANA,V,Zisa,Olivuzza
VS_34,CORSO CAMILLO FINOCCHIARO APRILE – VIA GIUSEPPE WHITAKER – VIA IMERA,Percorso storico,PERCORSI STORICI,CORSO AD ALTO SCORRIMENTO,MARCIAPIEDE,38.1187244,13.34831652,,46,Parzialmente accessibile,Alta,No,17,,,V,Zisa,Olivuzza
VC_28,VIA PERPIGNANO – VIA GIROLAMO SAVONAROLA – VIA G. EVANGELISTA DI BLASI,Via cittadina,PERCORSI CITTADINI,AREA A TRAFFICO ELEVATO,MARCIAPIEDE,38.1192898,13.3364552,,56,Parzialmente accessibile,Alta,No,18,,,V,Zisa,Zisa - 4 Camere
A_11,NIDO TOPOLINO,Asilo,SERVIZI PUBBLICI – ISTRUZIONE – ASILO,,,38.1135916,13.3355205,"Via Eugenio l'Emiro, 152",57,Parzialmente accessibile,Alta,No,4,Citofono troppo alto; maniglioni insufficienti nei servizi igienici; pavimentazione non idonea; assenza di pavimentazione tattile.,NIDO TOPOLINO,V,Zisa,Zisa - 4 Camere
A_10,NIDO GIRASOLE,Asilo,SERVIZI PUBBLICI – ISTRUZIONE – ASILO,,,38.1195632,13.327766,"Via Perpignano, 287",56,Parzialmente accessibile,Alta,No,4,Citofono troppo alto; bagno disabili non fruibile; assenza pavimentazione tattile e segnalazione per ipovedenti.,NIDO GIRASOLE,V,Zisa,Zisa - 4 Camere
AV_15,"GIARDINO, PIAZZA SANT’OLIVA",Area verde,AREE URBANE,AMBITO RESIDENZIALE/COMMERCIALE,PERCORSI INTERNI,38.12294209,13.35374925,Piazza Sant'Oliva,46,Parzialmente accessibile,Alta,No,10,,,VIII,Politeama,S.Francesco di Paola - Terrasanta
AV_13,"GIARDINO, PIAZZA LOLLI",Area verde,AREE URBANE,AMBITO RESIDENZIALE,PERCORSI INTERNI,38.12354095,13.34642512,"Piazza Stazione Lolli, 7",39,Parzialmente accessibile,Alta,No,7,,,VIII,Politeama,S.Francesco di Paola - Terrasanta
AV_09,"VILLA TRABIA, VIA SALINAS",Area verde,AREE URBANE,AMBITO STORICO-RESIDENZIALE DI PREGIO,PERCORSI INTERNI,38.13019466,13.34781059,"Via Antonino Salinas, 3",40,Parzialmente accessibile,Alta,No,10,,,VIII,Politeama,S.Francesco di Paola - Terrasanta
VS_32,VIA BRUNETTO LATINI,Percorso storico,PERCORSI STORICI,VIA INTERNA,MARCIAPIEDE,38.1230652,13.3500553,,44,Parzialmente accessibile,Alta,No,12,,,VIII,Politeama,S.Francesco di Paola - Terrasanta
VS_31,VIA SANT’OLIVA – PIAZZA SAN FRANCESCO DI PAOLA,Percorso storico,PERCORSI STORICI,ZONA CENTRALE E COMMERCIALE,MARCIAPIEDE,38.1220183,13.3531347,,44,Parzialmente accessibile,Alta,No,12,,,VIII,Politeama,S.Francesco di Paola - Terrasanta
VS_30,VIA PIGNATELLI ARAGONA,Percorso storico,PERCORSI STORICI,ASSE PERIFERICO AD ALTO SCORRIMENTO,MARCIAPIEDE,38.1210818,13.3553392,,44,Parzialmente accessibile,Alta,No,12,,,VIII,Politeama,S.Francesco di Paola - Terrasanta
VS_29,VIA VOLTURNO - VIA SALESIO BALSANO - VIA VILLA FILIPPINA,Percorso storico,PERCORSI STORICI,AREA AD ALTA DENSITÀ (TEATRO MASSIMO),MARCIAPIEDE,38.1197156,13.3547769,,54,Parzialmente accessibile,Alta,No,13,,,VIII,Politeama,S.Francesco di Paola - Terrasanta
VC_49,VIA DAMIANI ALMEYDA,Via cittadina,PERCORSI CITTADINI,AREA RESIDENZIALE SEMICENTRALE,MARCIAPIEDE,38.1308301,13.3455672,,41,Parzialmente accessibile,Alta,No,12,,,VIII,Politeama,S.Francesco di Paola - Terrasanta
